45,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,3,20,3,3,3,3,3,3,3,3,3,3,3,3,20,3,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,3,3,36
36,3,3,3,27,20,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,3,3,3,3,3,20,19,19,19,19,20,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,64,11,11,64,19,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,36,19,19,36,19,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,36,19,19,36,19,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,54,37,37,46,3,3,3,3,20,20,3,36
36,3,3,3,3,3,3,20,3,3,3,3,20,3,3,3,3,20,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,20,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,36
36,3,3,27,3,3,3,3,3,3,20,3,3,3,3,3,3,3,3,36
36,3,3,3,3,3,3,3,3,27,20,3,3,3,3,3,27,3,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,3,36
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,3,36
54,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,46
